"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Doug Martin","OAK","66.6","286.3","1.8","7.2","51.0","0.1","0.8","43.9"
"Darwin Thompson","KC","40.9","176.6","1.7","14.4","137.8","0.7","1.1","43.7"
"Tony Pollard","DAL","58.4","213.3","1.6","12.9","110.4","0.4","0.8","43.2"
"Rex Burkhead","NE","42.3","160.1","1.6","16.0","137.5","0.8","0.7","42.9"
"Chase Edmonds","ARI","53.1","233.1","1.6","11.5","89.7","0.2","0.5","41.8"
"Zach Zenner","DET","36.3","209.7","1.7","10.2","78.9","0.2","0.2","40.2"
"Theo Riddick","DEN","24.8","129.2","0.6","27.4","197.8","0.6","0.5","39.1"
"Ty Montgomery","NYJ","49.8","162.0","1.2","16.9","138.5","0.6","0.8","39.1"
"T.J. Yeldon","BUF","41.2","158.7","0.8","17.3","146.6","0.5","0.2","38.2"
"Malcolm Brown","LAR","60.9","232.2","1.5","8.2","57.8","0.2","0.3","38.1"
"Andre Ellington","TB","28.5","108.9","1.1","23.2","197.0","0.3","0.6","37.3"
"Dontrell Hilliard","CLE","40.3","145.1","0.9","16.1","155.8","0.5","0.5","37.1"
"Elijah McGuire","NYJ","38.4","146.0","1.0","14.2","128.3","0.7","0.5","36.5"
"Wayne Gallman","NYG","53.8","210.8","1.3","11.3","79.8","0.1","1.0","35.7"
"Ryquell Armstead","JAC","45.1","178.0","1.2","9.8","80.4","0.3","0.3","34.3"
"Corey Clement","PHI","38.3","163.6","1.2","10.6","88.9","0.3","0.4","33.7"
"Bryce Love","WAS","40.2","168.9","1.1","8.6","77.4","0.6","0.5","33.6"
"Cameron Artis-Payne","CAR","45.6","204.7","1.5","5.1","40.9","0.1","0.4","33.6"
"Brian Hill","ATL","37.6","187.8","1.3","6.9","45.9","0.2","0.5","31.2"
"J.D. McKissic","SEA","28.7","108.1","0.6","13.4","107.4","1.0","0.4","30.7"
"Myles Gaskin","MIA","29.6","142.2","0.8","11.5","90.1","0.4","0.2","30.1"
"Wendell Smallwood","PHI","23.8","144.6","1.0","10.6","85.2","0.2","0.2","30.1"
"Reggie Bonnafon","CAR","0.0","132.1","0.9","10.3","79.4","0.4","0.2","28.7"
"Rodney Anderson","CIN","27.5","126.5","1.0","7.5","65.0","0.5","0.5","27.2"
"Kyle Juszczyk","SF","7.2","26.6","0.3","21.3","193.4","0.8","0.8","27.1"
"Alfred Morris","DAL","28.8","153.1","1.0","5.7","41.8","0.1","0.2","25.4"
"Benny Snell Jr.","PIT","36.3","142.5","0.9","6.2","54.2","0.2","0.6","24.7"
"Jacquizz Rodgers","NO","11.6","69.8","0.4","13.1","111.7","0.6","0.0","23.9"
"D'Onta Foreman","IND","34.3","130.7","0.9","4.1","44.3","0.4","0.5","23.9"
"Darren Sproles","PHI","22.8","74.4","0.5","11.6","98.0","0.6","0.1","23.8"
"Devontae Booker","DEN","28.2","116.2","0.6","9.9","82.6","0.2","0.7","23.1"
"Qadree Ollison","ATL","32.2","127.6","0.9","4.3","34.8","0.2","0.2","22.6"
"Jordan Wilkins","IND","28.3","122.0","0.9","4.9","34.3","0.2","0.2","21.9"
"Brandon Bolden","NE","10.3","73.5","2.2","1.3","14.4","0.1","0.5","21.6"
"Dexter Williams","GB","28.0","111.6","0.8","4.8","39.9","0.3","0.2","21.4"
"Darrel Williams","KC","23.8","76.9","0.8","6.0","57.9","0.6","0.4","21.3"
"Kenneth Dixon","BAL","22.7","102.7","0.7","5.4","54.3","0.2","0.1","21.2"
