"Player","Team","REC","YDS","TDS","FL","FPTS"
"Garrett Griffin","NO","6.0","49.0","1.0","0.0","10.9"
"Daniel Brown","NYJ","6.9","75.6","0.5","0.1","10.6"
"Lance Kendricks","NE","7.7","73.0","0.6","0.0","10.6"
"Seth DeValve","CLE","6.0","74.4","0.5","0.0","10.6"
"Kaden Smith","SF","6.4","71.6","0.6","0.0","10.5"
"Alize Mack","NO","6.9","67.1","0.6","0.0","10.3"
"Isaac Nauta","DET","6.9","65.0","0.6","0.0","9.8"
"Darren Fells","HOU","5.3","70.4","0.4","0.0","9.6"
"Jeremy Sprinkle","WAS","5.9","61.9","0.5","0.1","9.1"
"Antony Auclair","TB","7.1","63.6","0.4","0.0","9.0"
"Dalton Schultz","DAL","7.0","72.6","0.3","0.1","8.7"
"Durham Smythe","MIA","6.0","64.5","0.4","0.1","8.6"
"Jason Vander Laan","CAR","2.4","53.3","0.5","0.0","8.4"
"Cethan Carter","CIN","5.0","47.1","0.6","0.0","8.1"
"Tyrone Swoopes","SEA","4.1","51.2","0.5","0.0","8.0"
"Richard Rodgers","PHI","4.9","54.1","0.4","0.0","7.8"
"Jordan Franks","CIN","4.2","49.9","0.4","0.0","7.4"
"Caleb Wilson","ARI","5.3","57.7","0.1","0.0","6.4"
"Lee Smith","BUF","3.5","41.2","0.4","0.0","6.3"
"Sean Culkin","LAC","3.4","39.7","0.4","0.0","6.1"
"Deon Yelder","KC","3.7","39.3","0.3","0.0","5.9"
"Joshua Perkins","PHI","3.5","37.9","0.3","0.1","5.4"
"Logan Thomas","DET","2.9","24.7","0.4","0.0","5.0"
"Cole Wick","TEN","3.6","33.2","0.3","0.0","4.9"
"Jordan Leggett","TB","4.2","29.7","0.3","0.0","4.7"
"David Morgan","MIN","3.8","36.4","0.2","0.0","4.7"
"Scott Simonson","NYG","3.4","31.2","0.3","0.0","4.7"
"Jerome Cunningham","DET","3.0","30.6","0.3","0.0","4.6"
"Ben Braunecker","CHI","3.3","33.7","0.2","0.0","4.5"
"Tommy Sweeney","BUF","2.9","33.0","0.2","0.0","4.2"
"Gabe Holmes","IND","2.4","24.2","0.3","0.0","4.1"
"Ross Dwelley","SF","3.1","26.5","0.2","0.0","4.0"
"Ross Travis","IND","2.4","19.5","0.3","0.0","3.9"
"Ben Koyack","JAC","2.4","22.4","0.3","0.0","3.9"
"Clive Walford","MIA","2.6","24.1","0.3","0.0","3.9"
"Eric Saubert","NE","2.6","27.4","0.2","0.0","3.9"
"Jerell Adams","HOU","2.8","33.0","0.1","0.0","3.7"
"Rico Gathers","CLE","2.3","21.3","0.2","0.0","3.3"
"Matt Flanagan","WAS","2.0","20.4","0.2","0.0","3.3"
"Evan Baylis","GB","1.3","13.9","0.3","0.0","3.2"
"Ryan Izzo","MIN","1.8","20.8","0.2","0.0","3.0"
"A.J. Derby","NO","2.0","23.5","0.1","0.0","2.9"
"C.J. Conrad","NYG","1.8","19.4","0.1","0.0","2.6"
"Troy Fumagalli","DEN","1.8","18.6","0.1","0.0","2.4"
"Mason Schreck","CIN","1.7","18.6","0.1","0.0","2.4"
"Ryan Hewitt","TEN","1.5","17.1","0.1","0.0","2.3"
"Will Tye","PHI","1.2","12.4","0.1","0.0","2.0"
"Johnny Mundt","LAR","1.2","9.8","0.1","0.0","1.5"
"Darrell Daniels","ARI","1.6","14.8","0.0","0.0","1.5"
"Garrett Dickerson","NYG","0.0","0.0","0.0","0.0","0.0"
"Donnie Ernsberger","JAC","0.0","0.0","0.0","0.0","0.0"
"Austin Traylor","DET","0.0","0.0","0.0","0.0","0.0"
"Vince Mayle","LAC","0.0","0.0","0.0","0.0","0.0"
"Bucky Hodges","NYJ","0.0","0.0","0.0","0.0","0.0"
"Alex Ellis","PHI","0.0","0.0","0.0","0.0","0.0"
"Cole Hikutini","MIN","0.0","0.0","0.0","0.0","0.0"
"Moritz Bohringer","CIN","0.0","0.0","0.0","0.0","0.0"
"Temarrick Hemingway","CAR","0.0","0.0","0.0","0.0","0.0"
"Marcus Lucas","DAL","0.0","0.0","0.0","0.0","0.0"
""
""
